2025/04/10 20:22:39 Docker守护进程以root启动
2025/04/10 20:22:39 Docker未开启TCP端口
2025/04/10 20:22:39 特权容器有: 
2025/04/10 20:22:39 Docker 版本: 24.0.2
2025/04/10 20:22:39 API 版本: 1.43
2025/04/10 20:22:39 Go 版本: go1.20.4
2025/04/10 20:22:39 Git commit: 659604f
2025/04/10 20:22:39 操作系统: linux
2025/04/10 20:22:39 runc 版本: v1.1.7-0-g860f061
2025/04/10 20:22:39 内核版本: 5.8.5-050805-generic
2025/04/10 20:22:39 containerd 版本: 3dce8eb055cbb6872793272b4f20ed16117344f8
2025/04/10 20:22:49 
漏洞匹配结果:
2025/04/10 20:22:49 全部容器以非 root 用户运行

2025/04/10 16:52:41   - CVE-2024-23054 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2022-34883 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2022-35980 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2022-35980 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2022-36775 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-36775 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-36775 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-36775 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-36775 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-37326 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2022-38362 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2022-38730 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-39258 (CVSS: 8.2, HIGH)
2025/04/10 16:52:41   - CVE-2022-41906 (CVSS: 8.7, HIGH)
2025/04/10 16:52:41   - CVE-2022-41918 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-41918 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-45385 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-20191 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-20496 (CVSS: 4.9, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-20497 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-20498 (CVSS: 5.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-20499 (CVSS: 2.7, LOW)
2025/04/10 16:52:41   - CVE-2021-20500 (CVSS: 4.4, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-20510 (CVSS: 4.4, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-20511 (CVSS: 4.9, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-20523 (CVSS: 2.7, LOW)
2025/04/10 16:52:41   - CVE-2021-20524 (CVSS: 4.8, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-20533 (CVSS: 7.2, HIGH)
2025/04/10 16:52:41   - CVE-2021-20534 (CVSS: 3.5, LOW)
2025/04/10 16:52:41   - CVE-2021-20537 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-21284 (CVSS: 6.8, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-21284 (CVSS: 6.8, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-21285 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-21285 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-23732 (CVSS: 9.0, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-27886 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-29699 (CVSS: 6.8, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-29742 (CVSS: 8.0, HIGH)
2025/04/10 16:52:41   - CVE-2021-3162 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2021-33183 (CVSS: 7.9, HIGH)
2025/04/10 16:52:41   - CVE-2021-34079 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-37353 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-37841 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2021-39070 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-39070 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-39070 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-41092 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-44719 (CVSS: 8.4, HIGH)
2025/04/10 16:52:41   - CVE-2021-45449 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-45449 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-10665 (CVSS: 6.7, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-10665 (CVSS: 6.7, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-10665 (CVSS: 6.7, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-11492 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2020-11710 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-11878 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-13401 (CVSS: 6.0, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-14298 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2020-14300 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2020-15360 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2020-27534 (CVSS: 5.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-29389 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29564 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29575 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29576 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29577 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29578 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29578 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29578 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29578 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29578 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29579 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29580 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29581 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29591 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29601 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-29602 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35184 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35185 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35186 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35189 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35191 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35191 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35191 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35193 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35195 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35196 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35197 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35466 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-35467 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-4794 (CVSS: 5.4, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-7606 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41 containerd 3dce8eb055cbb6872793272b4f20ed16117344f8 有 39 个匹配的CVE
2025/04/10 16:52:41   - CVE-2023-25153 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-25153 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-25173 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-25173 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2022-23471 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-23471 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-23648 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2022-23648 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2022-23648 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2022-31030 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-31030 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-21334 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-21334 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-32760 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-32760 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2021-41103 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2021-41103 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2021-43816 (CVSS: 9.1, CRITICAL)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15157 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15257 (CVSS: 5.2, MEDIUM)
2025/04/10 16:52:41   - CVE-2020-15257 (CVSS: 5.2, MEDIUM)
2025/04/10 16:52:41 runc v1.1.7-0-g860f061 有 26 个匹配的CVE
2025/04/10 16:52:41   - CVE-2025-1306 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2025-1307 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2024-21626 (CVSS: 8.6, HIGH)
2025/04/10 16:52:41   - CVE-2023-25809 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-27561 (CVSS: 7.0, HIGH)
2025/04/10 16:52:41   - CVE-2023-28642 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-52430 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-24769 (CVSS: 5.9, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-29162 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-30465 (CVSS: 8.5, HIGH)
2025/04/10 16:52:41   - CVE-2021-43784 (CVSS: 5.0, MEDIUM)
2025/04/10 16:52:41 全部容器以非 root 用户运行
